2023-09-17 22:35:09,844.consumer2.INFO ==================================================
2023-09-17 22:35:09,844.consumer2.INFO Today is 2023-09-17 at 10:35 PM
2023-09-17 22:35:09,844.consumer2.INFO Running on: posix Darwin 22.5.0
2023-09-17 22:35:09,844.consumer2.INFO Python version:  3.9.6
2023-09-17 22:35:09,844.consumer2.INFO Python path: /Users/kristenfinley/Documents/streaming-04-bonus-finley/.venv
2023-09-17 22:35:09,844.consumer2.INFO Working dir: /Users/kristenfinley/Documents/streaming-04-bonus-finley
2023-09-17 22:35:09,844.consumer2.INFO ==================================================
2023-09-17 22:35:09,859.consumer2.INFO  [*] Ready for work. To exit press CTRL+C
2023-09-17 22:35:09,859.consumer2.INFO  [x] Received [Barbie,$594,254,460]
2023-09-17 22:35:09,859.consumer2.INFO  [x] Done.
2023-09-17 22:35:09,859.consumer2.INFO  [x] Received [The Super Mario Bros. Movie,$574,759,600]
2023-09-17 22:35:09,860.consumer2.INFO  [x] Done.
2023-09-17 22:35:09,860.consumer2.INFO  [x] Received [Spider-Man: Across the Spider-Verse,$381,178,195]
2023-09-17 22:35:09,860.consumer2.INFO  [x] Done.
2023-09-17 22:35:09,860.consumer2.INFO  [x] Received [Guardians of the Galaxy Vol. 3,$358,995,815]
2023-09-17 22:35:09,860.consumer2.INFO  [x] Done.
2023-09-17 22:35:09,861.consumer2.INFO  [x] Received [Oppenheimer,$300,144,670]
2023-09-17 22:35:09,861.consumer2.INFO  [x] Done.
2023-09-17 22:35:09,861.consumer2.INFO  [x] Received [The Little Mermaid,$297,895,447]
2023-09-17 22:35:09,861.consumer2.INFO  [x] Done.
2023-09-17 22:35:09,861.consumer2.INFO  [x] Received [Avatar: The Way of Water,$684,075,767]
2023-09-17 22:35:09,861.consumer2.INFO  [x] Done.
2023-09-17 22:35:09,861.consumer2.INFO  [x] Received [Ant-Man and the Wasp: Quantumania,$214,504,909]
2023-09-17 22:35:09,862.consumer2.INFO  [x] Done.
2023-09-17 22:35:09,862.consumer2.INFO  [x] Received [John Wick: Chapter 4,$187,131,806]
2023-09-17 22:35:09,862.consumer2.INFO  [x] Done.
2023-09-17 22:35:09,862.consumer2.INFO  [x] Received [Sound of Freedom,$180,587,629]
2023-09-17 22:35:09,862.consumer2.INFO  [x] Done.
2023-09-17 22:35:09,862.consumer2.INFO  [x] Received [Indiana Jones and the Dial of Destiny,$174,116,627]
2023-09-17 22:35:09,863.consumer2.INFO  [x] Done.
2023-09-17 22:35:09,863.consumer2.INFO  [x] Received [Mission: Impossible - Dead Reckoning Part One,$168,248,955]
2023-09-17 22:35:09,863.consumer2.INFO  [x] Done.
2023-09-17 22:35:09,863.consumer2.INFO  [x] Received [Transformers: Rise of the Beasts,$157,066,392]
2023-09-17 22:35:09,863.consumer2.INFO  [x] Done.
2023-09-17 22:35:09,863.consumer2.INFO  [x] Received [Creed III,$156,248,615]
2023-09-17 22:35:09,863.consumer2.INFO  [x] Done.
2023-09-17 22:35:09,864.consumer2.INFO  [x] Received [Elemental,$151,692,473]
2023-09-17 22:35:09,864.consumer2.INFO  [x] Done.
2023-09-17 22:35:09,864.consumer2.INFO  [x] Received [Fast X,$145,960,660]
2023-09-17 22:35:09,864.consumer2.INFO  [x] Done.
2023-09-17 22:35:09,864.consumer2.INFO  [x] Received [Puss in Boots: The Last Wish,$185,535,345]
2023-09-17 22:35:09,864.consumer2.INFO  [x] Done.
2023-09-17 22:35:09,868.consumer2.INFO  [x] Received [Scream VI,$108,161,389]
2023-09-17 22:35:09,868.consumer2.INFO  [x] Done.
2023-09-17 22:35:09,869.consumer2.INFO  [x] Received [The Flash,$108,133,313]
2023-09-17 22:35:09,869.consumer2.INFO  [x] Done.
2023-09-17 22:35:09,869.consumer2.INFO  [x] Received [Teenage Mutant Ninja Turtles: Mutant Mayhem,$99,847,538]
2023-09-17 22:35:09,869.consumer2.INFO  [x] Done.
2023-09-17 22:35:09,870.consumer2.INFO  [x] Received [M3GAN,$95,043,350]
2023-09-17 22:35:09,870.consumer2.INFO  [x] Done.
2023-09-17 22:35:09,870.consumer2.INFO  [x] Received [Dungeons & Dragons: Honor Among Thieves,$93,277,026]
2023-09-17 22:35:09,870.consumer2.INFO  [x] Done.
2023-09-17 22:35:09,871.consumer2.INFO  [x] Received [Insidious: The Red Door,$82,042,800]
2023-09-17 22:35:09,871.consumer2.INFO  [x] Done.
2023-09-17 22:35:09,871.consumer2.INFO  [x] Received [Meg 2: The Trench,$74,469,810]
2023-09-17 22:35:09,871.consumer2.INFO  [x] Done.
2023-09-17 22:35:09,872.consumer2.INFO  [x] Received [Evil Dead Rise,$67,233,054]
2023-09-17 22:35:09,872.consumer2.INFO  [x] Done.
2023-09-17 22:35:09,874.consumer2.INFO  [x] Received [Cocaine Bear,$64,388,510]
2023-09-17 22:35:09,874.consumer2.INFO  [x] Done.
2023-09-17 22:35:09,877.consumer2.INFO  [x] Received [A Man Called Otto,$64,267,657]
2023-09-17 22:35:09,877.consumer2.INFO  [x] Done.
2023-09-17 22:35:09,877.consumer2.INFO  [x] Received [Haunted Mansion,$62,291,150]
2023-09-17 22:35:09,877.consumer2.INFO  [x] Done.
2023-09-17 22:35:09,878.consumer2.INFO  [x] Received [Shazam! Fury of the Gods,$57,638,006]
2023-09-17 22:35:09,878.consumer2.INFO  [x] Done.
2023-09-17 22:35:09,878.consumer2.INFO  [x] Received [Air,$52,460,106]
2023-09-17 22:35:09,878.consumer2.INFO  [x] Done.
2023-09-17 22:35:09,880.consumer2.INFO  [x] Received [Jesus Revolution,$52,102,987]
2023-09-17 22:35:09,880.consumer2.INFO  [x] Done.
2023-09-17 22:35:09,884.consumer2.INFO  [x] Received [No Hard Feelings,$50,452,282]
2023-09-17 22:35:09,884.consumer2.INFO  [x] Done.
2023-09-17 22:35:09,885.consumer2.INFO  [x] Received [Blue Beetle,$46,566,539]
2023-09-17 22:35:09,885.consumer2.INFO  [x] Done.
